               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.021081,            0.007036,                   0,             0.99767,                   1,               0.995,             0.77596,            0.017928,           0.0045469,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.021754,           0.0067371,                   0,             0.99712,                   1,               0.995,             0.83997,            0.015232,           0.0042009,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.021735,            0.006988,                   0,             0.99688,                   1,               0.995,             0.80788,            0.015612,           0.0043032,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.020074,           0.0070581,                   0,             0.99655,                   1,               0.995,             0.82295,            0.016145,           0.0041755,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.017832,           0.0069362,                   0,              0.9981,                   1,               0.995,             0.87274,            0.013621,           0.0042156,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.018153,           0.0063014,                   0,             0.99832,                   1,               0.995,             0.83018,            0.014794,           0.0045337,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.019384,           0.0068374,                   0,             0.99773,                   1,               0.995,             0.83957,            0.016737,           0.0044309,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.020215,           0.0070081,                   0,             0.99741,                   1,               0.995,             0.78729,            0.016766,           0.0044168,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.018579,            0.006632,                   0,             0.99721,                   1,               0.995,             0.85489,            0.015255,           0.0044769,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.018409,            0.006217,                   0,             0.99753,                   1,               0.995,             0.82784,             0.01682,           0.0042699,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.020533,           0.0066118,                   0,             0.99815,                   1,               0.995,             0.83432,            0.014047,           0.0040143,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.018885,            0.006775,                   0,             0.99835,                   1,               0.995,             0.84382,            0.015414,           0.0040694,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.019448,           0.0068364,                   0,             0.99806,                   1,               0.995,             0.81841,            0.016458,            0.004361,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.019376,           0.0062666,                   0,             0.99826,                   1,               0.995,             0.84184,            0.015092,           0.0044152,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.018801,           0.0064325,                   0,             0.99809,                   1,               0.995,             0.78897,            0.016627,            0.004418,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.018284,           0.0066695,                   0,             0.99817,                   1,               0.995,             0.85965,             0.01548,           0.0042963,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.017255,           0.0064553,                   0,             0.99821,                   1,               0.995,             0.86557,            0.013325,           0.0039415,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.018778,           0.0063824,                   0,             0.99819,                   1,               0.995,             0.83197,            0.016526,           0.0038092,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.019949,           0.0065774,                   0,             0.99768,                   1,               0.995,             0.79901,            0.016771,           0.0044233,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.019308,           0.0068555,                   0,             0.99801,                   1,               0.995,             0.84249,            0.015966,           0.0042193,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.019899,           0.0065337,                   0,             0.99812,                   1,               0.995,             0.83126,            0.015448,           0.0042534,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.018064,           0.0064241,                   0,             0.99804,                   1,               0.995,              0.8688,            0.012961,           0.0040262,                   0,            0.008053,            0.008053,            0.008053
